Local Authority,Library,Month,Type,Loans
CAMBS,Histon Library,2020-01,Adult fiction hardback,66
CAMBS,Histon Library,2020-01,Adult fiction large print hardback,14
CAMBS,Histon Library,2020-01,Adult fiction large print paperback,9
CAMBS,Histon Library,2020-01,Adult fiction paperback,124
CAMBS,Histon Library,2020-01,Adult non fiction hardback,32
CAMBS,Histon Library,2020-01,Adult non fiction large print hardback,2
CAMBS,Histon Library,2020-01,Adult non fiction paperback,56
CAMBS,Histon Library,2020-01,Adult non-fiction,1
CAMBS,Histon Library,2020-01,Adult spoken word CD set,5
CAMBS,Histon Library,2020-01,Children's fiction,1
CAMBS,Histon Library,2020-01,Children's non-fiction,1
CAMBS,Histon Library,2020-01,Children's spoken word CD set,5
CAMBS,Histon Library,2020-01,DVD short,1
CAMBS,Histon Library,2020-01,DVD: 12,3
CAMBS,Histon Library,2020-01,DVD: 15,1
CAMBS,Histon Library,2020-01,DVD: U,4
CAMBS,Histon Library,2020-01,Junior fiction,396
CAMBS,Histon Library,2020-01,Junior non-fiction,149
CAMBS,Histon Library,2020-01,Picture Book,2
CAMBS,Histon Library,2020-01,Teenage,14
CAMBS,Histon Library,2020-01,Young adult,4
CAMBS,Histon Library,2020-01,Young adult plus,2
CAMBS,Huntingdon Library,2019-12,Adult fiction,42
CAMBS,Huntingdon Library,2019-12,Adult fiction hardback,135
CAMBS,Huntingdon Library,2019-12,Adult fiction large print hardback,27
CAMBS,Huntingdon Library,2019-12,Adult fiction large print paperback,31
CAMBS,Huntingdon Library,2019-12,Adult fiction paperback,335
CAMBS,Huntingdon Library,2019-12,Adult non fiction hardback,43
CAMBS,Huntingdon Library,2019-12,Adult non fiction paperback,87
CAMBS,Huntingdon Library,2019-12,Adult non-fiction,6
CAMBS,Huntingdon Library,2019-12,Adult spoken word CD,1
CAMBS,Huntingdon Library,2019-12,Adult spoken word CD set,6
CAMBS,Huntingdon Library,2019-12,Children's fiction,8
CAMBS,Huntingdon Library,2019-12,Children's non-fiction,2
CAMBS,Huntingdon Library,2019-12,Children's spoken word CD set,2
CAMBS,Huntingdon Library,2019-12,DVD: 12,4
CAMBS,Huntingdon Library,2019-12,DVD: 15,3
CAMBS,Huntingdon Library,2019-12,DVD: PG,3
CAMBS,Huntingdon Library,2019-12,DVD: U,1
CAMBS,Huntingdon Library,2019-12,Junior fiction,403
CAMBS,Huntingdon Library,2019-12,Junior large print,4
CAMBS,Huntingdon Library,2019-12,Junior non-fiction,103
CAMBS,Huntingdon Library,2019-12,Map,4
CAMBS,Huntingdon Library,2019-12,Picture Book,1
CAMBS,Huntingdon Library,2019-12,Quick Pick fiction,3
CAMBS,Huntingdon Library,2019-12,Teenage,11
CAMBS,Huntingdon Library,2019-12,Young adult,12
CAMBS,Huntingdon Library,2019-12,Young adult plus,1
CAMBS,Huntingdon Library,2020-01,Adult fiction,53
CAMBS,Huntingdon Library,2020-01,Adult fiction hardback,209
CAMBS,Huntingdon Library,2020-01,Adult fiction large print hardback,36
CAMBS,Huntingdon Library,2020-01,Adult fiction large print paperback,32
CAMBS,Huntingdon Library,2020-01,Adult fiction paperback,456
CAMBS,Huntingdon Library,2020-01,Adult non fiction hardback,59
CAMBS,Huntingdon Library,2020-01,Adult non fiction large print hardback,2
CAMBS,Huntingdon Library,2020-01,Adult non fiction large print paperback,1
CAMBS,Huntingdon Library,2020-01,Adult non fiction paperback,119
CAMBS,Huntingdon Library,2020-01,Adult non-fiction,13
CAMBS,Huntingdon Library,2020-01,Adult spoken word cassette,1
CAMBS,Huntingdon Library,2020-01,Adult spoken word CD,1
CAMBS,Huntingdon Library,2020-01,Adult spoken word CD set,1
CAMBS,Huntingdon Library,2020-01,CD,2
CAMBS,Huntingdon Library,2020-01,Children's fiction,11
CAMBS,Huntingdon Library,2020-01,Children's non-fiction,2
CAMBS,Huntingdon Library,2020-01,Children's spoken word CD set,10
CAMBS,Huntingdon Library,2020-01,DVD: 12,5
CAMBS,Huntingdon Library,2020-01,DVD: 15,3
CAMBS,Huntingdon Library,2020-01,DVD: PG,2
CAMBS,Huntingdon Library,2020-01,DVD: U,1
CAMBS,Huntingdon Library,2020-01,Junior fiction,376
CAMBS,Huntingdon Library,2020-01,Junior large print,5
CAMBS,Huntingdon Library,2020-01,Junior non-fiction,75
CAMBS,Huntingdon Library,2020-01,Map,12
CAMBS,Huntingdon Library,2020-01,Music score,2
CAMBS,Huntingdon Library,2020-01,Picture Book,1
CAMBS,Huntingdon Library,2020-01,Quick Pick fiction,3
CAMBS,Huntingdon Library,2020-01,Teenage,32
CAMBS,Huntingdon Library,2020-01,Young adult,12
CAMBS,Huntingdon Library,2020-01,Young adult plus,2
CAMBS,Linton Library,2019-12,Adult fiction,4
CAMBS,Linton Library,2019-12,Adult fiction hardback,33
CAMBS,Linton Library,2019-12,Adult fiction large print hardback,2
CAMBS,Linton Library,2019-12,Adult fiction paperback,43
CAMBS,Linton Library,2019-12,Adult non fiction hardback,18
CAMBS,Linton Library,2019-12,Adult non fiction paperback,8
CAMBS,Linton Library,2019-12,Adult non-fiction,5
CAMBS,Linton Library,2019-12,Adult spoken word CD,1
CAMBS,Linton Library,2019-12,Adult spoken word CD set,3
CAMBS,Linton Library,2019-12,Junior fiction,123
CAMBS,Linton Library,2019-12,Junior non-fiction,15
CAMBS,Linton Library,2019-12,Picture Book,1
CAMBS,Linton Library,2019-12,Quick Pick fiction,1
CAMBS,Linton Library,2019-12,Teenage,3
CAMBS,Linton Library,2019-12,Young adult,2
CAMBS,Linton Library,2020-01,Adult fiction,3
CAMBS,Linton Library,2020-01,Adult fiction hardback,37
CAMBS,Linton Library,2020-01,Adult fiction large print hardback,11
CAMBS,Linton Library,2020-01,Adult fiction large print paperback,6
CAMBS,Linton Library,2020-01,Adult fiction paperback,78
CAMBS,Linton Library,2020-01,Adult non fiction hardback,11
CAMBS,Linton Library,2020-01,Adult non fiction large print hardback,2
CAMBS,Linton Library,2020-01,Adult non fiction large print paperback,1
CAMBS,Linton Library,2020-01,Adult non fiction paperback,26
CAMBS,Linton Library,2020-01,Adult spoken word CD set,2
CAMBS,Linton Library,2020-01,Children's non-fiction,2
CAMBS,Linton Library,2020-01,Junior fiction,266
CAMBS,Linton Library,2020-01,Junior non-fiction,22
CAMBS,Linton Library,2020-01,Picture Book,1
CAMBS,Linton Library,2020-01,Quick Pick fiction,1
CAMBS,Linton Library,2020-01,Teenage,3
CAMBS,Linton Library,2020-01,Young adult,1
CAMBS,Linton Library,2020-01,Young adult plus,1
CAMBS,Little Downham Library Access Point,2020-01,Adult fiction hardback,3
CAMBS,Little Downham Library Access Point,2020-01,Adult fiction large print hardback,3
CAMBS,Little Downham Library Access Point,2020-01,Adult fiction large print paperback,4
CAMBS,Little Downham Library Access Point,2020-01,Adult fiction paperback,25
CAMBS,Little Downham Library Access Point,2020-01,Adult non fiction paperback,1
CAMBS,Little Downham Library Access Point,2020-01,Children's fiction,1
CAMBS,Little Downham Library Access Point,2020-01,Junior fiction,13
CAMBS,Little Downham Library Access Point,2020-01,Quick Pick fiction,1
CAMBS,Littleport Library,2019-12,Adult fiction,2
CAMBS,Littleport Library,2019-12,Adult fiction hardback,9
CAMBS,Littleport Library,2019-12,Adult fiction large print hardback,1
CAMBS,Littleport Library,2019-12,Adult fiction large print paperback,4
CAMBS,Littleport Library,2019-12,Adult fiction paperback,18
CAMBS,Littleport Library,2019-12,Adult non fiction hardback,8
CAMBS,Littleport Library,2019-12,Adult non fiction paperback,4
CAMBS,Littleport Library,2019-12,Adult non-fiction,1
CAMBS,Littleport Library,2019-12,Adult spoken word CD set,7
CAMBS,Littleport Library,2019-12,Junior fiction,61
CAMBS,Littleport Library,2019-12,Junior non-fiction,5
CAMBS,Littleport Library,2020-01,Adult fiction hardback,24
CAMBS,Littleport Library,2020-01,Adult fiction large print hardback,20
CAMBS,Littleport Library,2020-01,Adult fiction large print paperback,4
CAMBS,Littleport Library,2020-01,Adult fiction paperback,54
CAMBS,Littleport Library,2020-01,Adult non fiction hardback,23
CAMBS,Littleport Library,2020-01,Adult non fiction large print paperback,1
CAMBS,Littleport Library,2020-01,Adult non fiction paperback,20
CAMBS,Littleport Library,2020-01,Adult spoken word CD set,5
CAMBS,Littleport Library,2020-01,Children's non-fiction,1
CAMBS,Littleport Library,2020-01,DVD: U,1
CAMBS,Littleport Library,2020-01,Junior fiction,97
CAMBS,Littleport Library,2020-01,Junior non-fiction,11
CAMBS,Littleport Library,2020-01,Picture Book,1
CAMBS,Littleport Library,2020-01,Young adult,1
CAMBS,March Library,2019-12,Adult fiction,31
CAMBS,March Library,2019-12,Adult fiction hardback,86
CAMBS,March Library,2019-12,Adult fiction large print hardback,33
CAMBS,March Library,2019-12,Adult fiction large print paperback,17
CAMBS,March Library,2019-12,Adult fiction paperback,222
CAMBS,March Library,2019-12,Adult non fiction hardback,38
CAMBS,March Library,2019-12,Adult non fiction large print hardback,1
CAMBS,March Library,2019-12,Adult non fiction large print paperback,1
CAMBS,March Library,2019-12,Adult non fiction paperback,73
CAMBS,March Library,2019-12,Adult non-fiction,6
CAMBS,March Library,2019-12,Adult spoken word cassette set,8
CAMBS,March Library,2019-12,Adult spoken word CD set,39
CAMBS,March Library,2019-12,Children's fiction,1
CAMBS,March Library,2019-12,Children's non-fiction,2
CAMBS,March Library,2019-12,Children's spoken word CD set,8
CAMBS,March Library,2019-12,DVD: 12,6
CAMBS,March Library,2019-12,DVD: 15,2
CAMBS,March Library,2019-12,DVD: PG,2
CAMBS,March Library,2019-12,DVD: U,1
CAMBS,March Library,2019-12,Junior fiction,187
CAMBS,March Library,2019-12,Junior non-fiction,32
CAMBS,March Library,2019-12,Magazine for loan,2
CAMBS,March Library,2019-12,Picture Book,3
CAMBS,March Library,2019-12,Quick Pick fiction,4
CAMBS,March Library,2019-12,Teenage,11
CAMBS,March Library,2019-12,Young adult,1
CAMBS,March Library,2020-01,Adult fiction,30
CAMBS,March Library,2020-01,Adult fiction hardback,112
CAMBS,March Library,2020-01,Adult fiction large print hardback,66
CAMBS,March Library,2020-01,Adult fiction large print paperback,22
CAMBS,March Library,2020-01,Adult fiction paperback,248
CAMBS,March Library,2020-01,Adult non fiction hardback,44
CAMBS,March Library,2020-01,Adult non fiction large print paperback,1
CAMBS,March Library,2020-01,Adult non fiction paperback,41
CAMBS,March Library,2020-01,Adult non-fiction,1
CAMBS,March Library,2020-01,Adult spoken word cassette set,2
CAMBS,March Library,2020-01,Adult spoken word CD,1
CAMBS,March Library,2020-01,Adult spoken word CD set,31
CAMBS,March Library,2020-01,Blu-Ray: 15,1
CAMBS,March Library,2020-01,Children's fiction,2
CAMBS,March Library,2020-01,Children's non-fiction,3
CAMBS,March Library,2020-01,Children's spoken word CD set,4
CAMBS,March Library,2020-01,Devices and electronics,1
CAMBS,March Library,2020-01,DVD: 12,3
CAMBS,March Library,2020-01,DVD: 15,1
CAMBS,March Library,2020-01,DVD: PG,5
CAMBS,March Library,2020-01,DVD: U,1
CAMBS,March Library,2020-01,Junior fiction,306
CAMBS,March Library,2020-01,Junior non-fiction,45
CAMBS,March Library,2020-01,Magazine for loan,2
CAMBS,March Library,2020-01,Picture Book,2
CAMBS,March Library,2020-01,Quick Pick fiction,2
CAMBS,March Library,2020-01,Teenage,3
CAMBS,March Library,2020-01,Young adult,5
CAMBS,March Library,2020-01,Young adult plus,1
CAMBS,Melbourn Library Access Point,2019-12,Adult fiction hardback,4
CAMBS,Melbourn Library Access Point,2019-12,Adult fiction large print paperback,2
CAMBS,Melbourn Library Access Point,2019-12,Adult fiction paperback,38
CAMBS,Melbourn Library Access Point,2019-12,Adult non fiction paperback,1
CAMBS,Melbourn Library Access Point,2019-12,Children's fiction,6
CAMBS,Melbourn Library Access Point,2019-12,Junior fiction,34
CAMBS,Melbourn Library Access Point,2019-12,Junior non-fiction,5
CAMBS,Melbourn Library Access Point,2019-12,Picture Book,1
CAMBS,Melbourn Library Access Point,2020-01,Adult fiction,1
CAMBS,Melbourn Library Access Point,2020-01,Adult fiction hardback,4
CAMBS,Melbourn Library Access Point,2020-01,Adult fiction paperback,40
CAMBS,Melbourn Library Access Point,2020-01,Adult non fiction hardback,3
CAMBS,Melbourn Library Access Point,2020-01,Adult non fiction paperback,1
CAMBS,Melbourn Library Access Point,2020-01,Children's fiction,2
CAMBS,Melbourn Library Access Point,2020-01,Junior fiction,90
CAMBS,Melbourn Library Access Point,2020-01,Junior non-fiction,2
CAMBS,Melbourn Library Access Point,2020-01,Picture Book,2
CAMBS,Milton Road Library,2019-12,Adult fiction,2
CAMBS,Milton Road Library,2019-12,Adult fiction hardback,4
CAMBS,Milton Road Library,2019-12,Adult fiction large print paperback,3
CAMBS,Milton Road Library,2019-12,Adult fiction paperback,16
CAMBS,Milton Road Library,2019-12,Adult non fiction hardback,8
CAMBS,Milton Road Library,2019-12,Adult non fiction paperback,17
CAMBS,Milton Road Library,2019-12,Adult spoken word CD set,2
CAMBS,Milton Road Library,2019-12,DVD: 15,1
CAMBS,Milton Road Library,2019-12,DVD: U,2
CAMBS,Milton Road Library,2019-12,Junior fiction,46
CAMBS,Milton Road Library,2019-12,Junior fiction hardback,1
CAMBS,Milton Road Library,2019-12,Junior fiction paperback,1
CAMBS,Milton Road Library,2019-12,Junior non-fiction,12
CAMBS,Milton Road Library,2019-12,Teenage,1
CAMBS,Milton Road Library,2019-12,Young adult plus,1
CAMBS,Milton Road Library,2020-01,Adult fiction,4
CAMBS,Milton Road Library,2020-01,Adult fiction hardback,17
CAMBS,Milton Road Library,2020-01,Adult fiction large print hardback,4
CAMBS,Milton Road Library,2020-01,Adult fiction large print paperback,7
CAMBS,Milton Road Library,2020-01,Adult fiction paperback,45
CAMBS,Milton Road Library,2020-01,Adult non fiction hardback,13
CAMBS,Milton Road Library,2020-01,Adult non fiction large print hardback,2
CAMBS,Milton Road Library,2020-01,Adult non fiction large print paperback,1
CAMBS,Milton Road Library,2020-01,Adult non fiction paperback,29
CAMBS,Milton Road Library,2020-01,Adult spoken word CD,1
CAMBS,Milton Road Library,2020-01,Adult spoken word CD set,5
CAMBS,Milton Road Library,2020-01,Children's non-fiction,1
CAMBS,Milton Road Library,2020-01,Children's spoken word CD set,9
CAMBS,Milton Road Library,2020-01,DVD: 15,1
CAMBS,Milton Road Library,2020-01,Junior fiction,154
CAMBS,Milton Road Library,2020-01,Junior non-fiction,42
CAMBS,Milton Road Library,2020-01,Teenage,5
CAMBS,Milton Road Library,2020-01,Young adult,3
CAMBS,Mobile Library,2019-12,Adult fiction,35
CAMBS,Mobile Library,2019-12,Adult fiction hardback,77
CAMBS,Mobile Library,2019-12,Adult fiction large print hardback,18
CAMBS,Mobile Library,2019-12,Adult fiction large print paperback,19
CAMBS,Mobile Library,2019-12,Adult fiction paperback,162
CAMBS,Mobile Library,2019-12,Adult non fiction hardback,23
CAMBS,Mobile Library,2019-12,Adult non fiction paperback,29
CAMBS,Mobile Library,2019-12,Adult non-fiction,4
CAMBS,Mobile Library,2019-12,Adult spoken word cassette set,13
CAMBS,Mobile Library,2019-12,Adult spoken word CD set,16
CAMBS,Mobile Library,2019-12,Children's fiction,3
CAMBS,Mobile Library,2019-12,Children's non-fiction,2
CAMBS,Mobile Library,2019-12,Junior fiction,39
CAMBS,Mobile Library,2019-12,Junior non-fiction,10
CAMBS,Mobile Library,2019-12,Teenage,8
CAMBS,Mobile Library,2020-01,Adult fiction,45
CAMBS,Mobile Library,2020-01,Adult fiction hardback,184
CAMBS,Mobile Library,2020-01,Adult fiction large print hardback,125
CAMBS,Mobile Library,2020-01,Adult fiction large print paperback,139
CAMBS,Mobile Library,2020-01,Adult fiction paperback,434
CAMBS,Mobile Library,2020-01,Adult non fiction hardback,44
CAMBS,Mobile Library,2020-01,Adult non fiction large print hardback,5
CAMBS,Mobile Library,2020-01,Adult non fiction large print paperback,1
CAMBS,Mobile Library,2020-01,Adult non fiction paperback,66
CAMBS,Mobile Library,2020-01,Adult non-fiction,8
CAMBS,Mobile Library,2020-01,Adult spoken word cassette set,6
CAMBS,Mobile Library,2020-01,Adult spoken word CD,1
CAMBS,Mobile Library,2020-01,Adult spoken word CD set,7
CAMBS,Mobile Library,2020-01,Bott village college fiction,1
CAMBS,Mobile Library,2020-01,Children's fiction,17
CAMBS,Mobile Library,2020-01,Children's non-fiction,1
CAMBS,Mobile Library,2020-01,DVD: 15,1
CAMBS,Mobile Library,2020-01,Junior fiction,254
CAMBS,Mobile Library,2020-01,Junior non-fiction,16
CAMBS,Mobile Library,2020-01,Quick Pick fiction,4
CAMBS,Mobile Library,2020-01,Quick Pick non-fiction,1
CAMBS,Mobile Library,2020-01,Young adult,1
CAMBS,Papworth Library,2019-12,Adult fiction,1
CAMBS,Papworth Library,2019-12,Adult fiction hardback,5
CAMBS,Papworth Library,2019-12,Adult fiction large print hardback,2
CAMBS,Papworth Library,2019-12,Adult fiction paperback,5
CAMBS,Papworth Library,2019-12,Adult non fiction hardback,1
CAMBS,Papworth Library,2019-12,Adult non fiction paperback,6
CAMBS,Papworth Library,2019-12,Adult non-fiction,1
CAMBS,Papworth Library,2019-12,Children's spoken word CD set,4
CAMBS,Papworth Library,2019-12,Devices and electronics,1
CAMBS,Papworth Library,2019-12,Junior fiction,67
CAMBS,Papworth Library,2019-12,Junior non-fiction,1
CAMBS,Papworth Library,2019-12,Teenage,3
CAMBS,Papworth Library,2020-01,Adult fiction,1
CAMBS,Papworth Library,2020-01,Adult fiction hardback,8
CAMBS,Papworth Library,2020-01,Adult fiction large print hardback,4
CAMBS,Papworth Library,2020-01,Adult fiction large print paperback,1
CAMBS,Papworth Library,2020-01,Adult fiction paperback,19
CAMBS,Papworth Library,2020-01,Adult non fiction hardback,2
CAMBS,Papworth Library,2020-01,Adult non fiction paperback,17
CAMBS,Papworth Library,2020-01,Adult spoken word cassette set,1
CAMBS,Papworth Library,2020-01,Adult spoken word CD set,1
CAMBS,Papworth Library,2020-01,DVD: U,1
CAMBS,Papworth Library,2020-01,Junior fiction,88
CAMBS,Papworth Library,2020-01,Junior non-fiction,7
CAMBS,Papworth Library,2020-01,Teenage,4
CAMBS,Papworth Library,2020-01,Young adult,2
CAMBS,Papworth Library,2020-01,Young adult plus,1
CAMBS,Ramsey Library,2019-12,Adult fiction,9
CAMBS,Ramsey Library,2019-12,Adult fiction hardback,50
CAMBS,Ramsey Library,2019-12,Adult fiction large print hardback,5
CAMBS,Ramsey Library,2019-12,Adult fiction large print paperback,6
CAMBS,Ramsey Library,2019-12,Adult fiction paperback,71
CAMBS,Ramsey Library,2019-12,Adult non fiction hardback,15
CAMBS,Ramsey Library,2019-12,Adult non fiction large print hardback,1
CAMBS,Ramsey Library,2019-12,Adult non fiction paperback,22
CAMBS,Ramsey Library,2019-12,Adult non-fiction,8
CAMBS,Ramsey Library,2019-12,Children's fiction,1
CAMBS,Ramsey Library,2019-12,Children's non-fiction,1
CAMBS,Ramsey Library,2019-12,Junior fiction,85
CAMBS,Ramsey Library,2019-12,Junior non-fiction,9
CAMBS,Ramsey Library,2019-12,Quick Pick fiction,1
CAMBS,Ramsey Library,2019-12,Teenage,1
CAMBS,Ramsey Library,2020-01,Adult fiction,10
CAMBS,Ramsey Library,2020-01,Adult fiction hardback,50
CAMBS,Ramsey Library,2020-01,Adult fiction large print hardback,3
CAMBS,Ramsey Library,2020-01,Adult fiction large print paperback,2
CAMBS,Ramsey Library,2020-01,Adult fiction paperback,115
CAMBS,Ramsey Library,2020-01,Adult non fiction hardback,18
CAMBS,Ramsey Library,2020-01,Adult non fiction large print hardback,1
CAMBS,Ramsey Library,2020-01,Adult non fiction large print paperback,1
CAMBS,Ramsey Library,2020-01,Adult non fiction paperback,21
CAMBS,Ramsey Library,2020-01,Adult non-fiction,5
CAMBS,Ramsey Library,2020-01,Adult spoken word CD set,2
CAMBS,Ramsey Library,2020-01,Children's fiction,2
CAMBS,Ramsey Library,2020-01,Junior fiction,128
CAMBS,Ramsey Library,2020-01,Junior non-fiction,11
CAMBS,Ramsey Library,2020-01,Quick Pick fiction,3
CAMBS,Ramsey Library,2020-01,Teenage,6
CAMBS,Ramsey Library,2020-01,Young adult,2
CAMBS,Rock Road Library,2019-12,Adult fiction,4
CAMBS,Rock Road Library,2019-12,Adult fiction hardback,17
CAMBS,Rock Road Library,2019-12,Adult fiction large print paperback,4
CAMBS,Rock Road Library,2019-12,Adult fiction paperback,52
CAMBS,Rock Road Library,2019-12,Adult non fiction hardback,9
CAMBS,Rock Road Library,2019-12,Adult non fiction paperback,7
CAMBS,Rock Road Library,2019-12,Adult non-fiction,1
CAMBS,Rock Road Library,2019-12,Adult spoken word CD,1
CAMBS,Rock Road Library,2019-12,Adult spoken word CD set,2
CAMBS,Rock Road Library,2019-12,Blu-Ray: 12,1
CAMBS,Rock Road Library,2019-12,Children's non-fiction,1
CAMBS,Rock Road Library,2019-12,Children's spoken word CD set,4
CAMBS,Rock Road Library,2019-12,DVD: 12,1
CAMBS,Rock Road Library,2019-12,DVD: 15,1
CAMBS,Rock Road Library,2019-12,DVD: PG,1
CAMBS,Rock Road Library,2019-12,DVD: U,2
CAMBS,Rock Road Library,2019-12,Junior fiction,200
CAMBS,Rock Road Library,2019-12,Junior non-fiction,28
CAMBS,Rock Road Library,2019-12,Teenage,10
CAMBS,Rock Road Library,2019-12,Young adult,4
CAMBS,Rock Road Library,2019-12,Young adult plus,3
CAMBS,Rock Road Library,2020-01,Adult fiction,6
CAMBS,Rock Road Library,2020-01,Adult fiction hardback,44
CAMBS,Rock Road Library,2020-01,Adult fiction large print hardback,4
CAMBS,Rock Road Library,2020-01,Adult fiction large print paperback,5
CAMBS,Rock Road Library,2020-01,Adult fiction paperback,91
CAMBS,Rock Road Library,2020-01,Adult non fiction hardback,24
CAMBS,Rock Road Library,2020-01,Adult non fiction large print hardback,1
CAMBS,Rock Road Library,2020-01,Adult non fiction paperback,23
CAMBS,Rock Road Library,2020-01,Adult non-fiction,3
CAMBS,Rock Road Library,2020-01,Adult spoken word CD set,9
CAMBS,Rock Road Library,2020-01,Children's fiction,4
CAMBS,Rock Road Library,2020-01,Children's non-fiction,1
CAMBS,Rock Road Library,2020-01,Children's spoken word CD set,6
CAMBS,Rock Road Library,2020-01,DVD: 12,1
CAMBS,Rock Road Library,2020-01,DVD: U,2
CAMBS,Rock Road Library,2020-01,Junior fiction,244
CAMBS,Rock Road Library,2020-01,Junior non-fiction,68
CAMBS,Rock Road Library,2020-01,Picture Book,2
CAMBS,Rock Road Library,2020-01,Quick Pick fiction,1
CAMBS,Rock Road Library,2020-01,Teenage,14
CAMBS,Rock Road Library,2020-01,Young adult,6
CAMBS,Rock Road Library,2020-01,Young adult plus,1
CAMBS,Sawston Library,2019-12,Adult fiction,1
CAMBS,Sawston Library,2019-12,Adult fiction hardback,18
CAMBS,Sawston Library,2019-12,Adult fiction large print hardback,2
CAMBS,Sawston Library,2019-12,Adult fiction paperback,47
CAMBS,Sawston Library,2019-12,Adult non fiction hardback,7
CAMBS,Sawston Library,2019-12,Adult non fiction paperback,16
CAMBS,Sawston Library,2019-12,Adult spoken word CD,1
CAMBS,Sawston Library,2019-12,Children's spoken word CD set,1
CAMBS,Sawston Library,2019-12,Junior fiction,109
CAMBS,Sawston Library,2019-12,Junior non-fiction,9
CAMBS,Sawston Library,2019-12,Picture Book,2
CAMBS,Sawston Library,2019-12,Quick Pick fiction,2
CAMBS,Sawston Library,2020-01,Adult fiction,4
CAMBS,Sawston Library,2020-01,Adult fiction hardback,20
CAMBS,Sawston Library,2020-01,Adult fiction large print hardback,4
CAMBS,Sawston Library,2020-01,Adult fiction large print paperback,6
CAMBS,Sawston Library,2020-01,Adult fiction paperback,42
CAMBS,Sawston Library,2020-01,Adult non fiction hardback,6
CAMBS,Sawston Library,2020-01,Adult non fiction large print hardback,1
CAMBS,Sawston Library,2020-01,Adult non fiction large print paperback,2
CAMBS,Sawston Library,2020-01,Adult non fiction paperback,20
CAMBS,Sawston Library,2020-01,Adult non-fiction,1
CAMBS,Sawston Library,2020-01,Adult spoken word CD,2
CAMBS,Sawston Library,2020-01,Adult spoken word CD set,7
CAMBS,Sawston Library,2020-01,Children's spoken word cassette set,1
CAMBS,Sawston Library,2020-01,Children's spoken word CD set,8
CAMBS,Sawston Library,2020-01,Junior fiction,255
CAMBS,Sawston Library,2020-01,Junior non-fiction,39
CAMBS,Sawston Library,2020-01,Picture Book,1
CAMBS,Sawston Library,2020-01,Quick Pick fiction,1
CAMBS,Sawston Library,2020-01,Teenage,14
CAMBS,Sawston Library,2020-01,Young adult,9
CAMBS,Sawston Library,2020-01,Young adult plus,4
